turma,instrutor,Bloco A: Material Didático [01. Utilizei os materiais do Moodle e do NotebookLM com frequência ao longo da disciplina.],"Bloco A: Material Didático [02. Ter acesso a diferentes formatos do NotebookLM (slides, vídeos, infográficos, mapas mentais) ajudou no aprendizado.]",Bloco A: Material Didático [03. Testar o código no Colab com os mesmos casos de teste do Moodle me poupou tempo antes de enviar.],"Bloco B: Aulas e Metodologia [04. Os materiais do NotebookLM e as demonstrações de código no Colab, apresentados no início de cada aula, ajudaram na compreensão dos conceitos.]",Bloco B: Aulas e Metodologia [05. Ter tempo para tentar resolver o EP sozinho antes de ver a solução do professor me incentivou a pensar na lógica por conta própria.],Bloco B: Aulas e Metodologia [06. Resolver exercícios em aula contribuiu para meu aprendizado.],Bloco B: Aulas e Metodologia [07. A quantidade de exercícios resolvidos por aula prática foi adequada.],"Bloco C: Avaliação e Feedback [08. Os feedbacks automáticos (VPL+IA) dos EPs, Simulados e das Provas ajudaram no meu aprendizado.]",Bloco C: Avaliação e Feedback [09. O feedback individualizado via IA (por e-mail) sobre provas me ajudou a identificar erros específicos de lógica.],Bloco C: Avaliação e Feedback [10. Os simulados/provas refletiram adequadamente o conteúdo trabalhado.],Bloco C: Avaliação e Feedback [11. Os materiais do NotebookLM ajudaram a me preparar para as provas e simulados.],Bloco D: Autopercepção [12. Meu conhecimento em lógica de programação evoluiu significativamente nesta oferta da disciplina.],"Bloco D: Autopercepção [13. Sem o NotebookLM, meu aprendizado teria sido significativamente pior.]",Bloco D: Autopercepção [14. O uso combinado de teoria e prática foi eficaz para meu aprendizado.],Bloco D: Autopercepção [15. Eu recomendaria o uso do NotebookLM em futuras ofertas da disciplina.],Bloco D: Autopercepção [16. O uso do NotebookLM aumentou meu interesse pela disciplina.],"Bloco D: Autopercepção [17. Mesmo com o aumento da dificuldade (Vetores/Matrizes), os novos materiais (com NotebookLM) me permitiram acompanhar melhor do que em aulas tradicionais.]","Bloco E: Verificador de Validade [18. Os enunciados dos EPs eram com correção automática, não em PDF estático.]",Bloco E: Verificador de Validade [19. Os enunciados de simulados se encontravam no Moodle da disciplina. ],"Bloco E: Verificador de Validade [20. Todas as aulas foram exclusivamente teóricas, sem resolução de exercícios.]"
NA10-SA,B,4,5,3,4,4,4,4,5,5,5,4,2,4,3,5,4,3,5,5,1
NA10-SA,B,3,2,1,2,4,5,5,3,1,2,1,3,1,3,1,1,1,5,5,1
NA10-SA,B,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,1
NA10-SA,B,3,2,2,4,5,4,4,4,3,2,3,4,3,4,3,3,2,4,3,4
NA10-SA,B,5,4,5,5,4,5,5,4,3,4,5,5,3,5,5,3,4,5,5,1
NA10-SA,B,2,2,4,2,5,5,3,4,3,5,2,5,2,3,2,2,2,5,5,1
NA10-SA,B,2,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,1
NA10-SA,B,4,2,5,3,4,4,5,5,2,1,1,3,1,4,3,1,3,5,5,1
NA1-SB,C,5,5,5,5,5,5,4,5,3,5,5,5,3,5,5,3,4,4,1,1
NA1-SB,C,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,5,1,1
NA1-SB,C,4,5,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,1
NA1-SB,C,3,3,3,3,3,4,3,3,2,4,3,2,3,2,3,2,1,3,3,1
NA1-SB,C,5,4,5,4,5,5,3,5,1,5,5,5,3,5,5,3,5,5,1,1
NA1-SB,C,3,3,5,2,3,3,2,5,2,3,4,2,4,3,5,5,4,5,4,1
NA1-SB,C,5,3,5,5,5,5,5,5,3,5,3,5,2,5,4,2,5,5,3,1
NA1-SB,C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NA1-SB,C,4,5,5,4,4,5,4,4,4,4,4,4,3,4,4,4,5,5,4,2
NA1-SB,C,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NA1-SB,C,1,5,5,3,3,3,1,5,3,3,3,1,3,3,5,3,3,5,3,3
NA1-SB,C,4,4,3,4,4,5,3,2,3,5,3,4,3,3,5,4,3,1,3,1
NA1-SB,C,4,4,3,2,2,3,1,3,1,5,3,3,2,3,1,1,1,3,3,1
NA1-SB,C,3,1,5,4,4,5,3,4,1,3,1,4,3,5,3,3,3,4,3,1
NB2-SB,C,4,4,5,4,5,4,4,4,2,4,5,4,2,3,5,4,4,5,1,1
NA1-SB,C,4,3,5,3,5,4,3,4,3,4,3,3,3,4,3,3,3,5,3,1
NB2-SB,C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NA1-SB,C,5,5,5,5,5,5,4,3,3,5,5,5,5,5,5,5,4,5,5,1
NA1-SB,C,3,3,4,3,4,2,4,4,2,4,4,4,4,4,4,4,4,3,3,1
NA1-SB,C,3,4,2,4,2,4,2,4,4,5,3,4,3,4,4,4,3,4,4,1
NA1-SB,C,3,5,3,5,4,5,4,4,3,5,4,4,2,4,3,3,2,5,5,1
NA1-SB,C,3,2,1,3,4,5,2,5,4,5,3,3,3,4,3,3,3,4,5,1
NA1-SB,C,2,3,2,2,2,2,3,3,2,3,2,2,3,2,3,3,3,1,1,3
NA1-SB,C,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
NA1-SB,C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
NB2-SB,C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NB2-SB,C,5,3,2,5,5,4,4,5,1,5,4,2,3,3,3,1,1,4,4,1
NB2-SB,C,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,1,1
NB2-SB,C,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,1,1
NB2-SB,C,3,1,4,2,4,4,2,2,2,2,2,4,2,4,2,2,2,4,4,2
NB2-SB,C,3,5,4,2,3,4,4,4,3,3,3,4,3,3,5,5,4,5,5,2
NB2-SB,C,3,5,4,5,4,4,4,5,4,5,5,4,2,4,4,3,4,5,4,1
NB2-SB,C,5,5,2,4,3,5,4,4,1,4,5,3,4,3,5,5,3,4,4,1
NA1-SB,C,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,1,2,1
NB2-SB,C,4,4,4,4,4,3,3,4,2,4,4,4,5,4,5,3,2,3,4,1
NB2-SB,C,5,3,4,4,4,5,5,4,3,4,4,4,4,4,3,3,3,4,3,1
NA1-SB,C,5,4,4,5,3,5,4,3,3,4,2,5,5,5,5,5,4,5,2,1
NB2-SB,C,3,3,5,3,5,5,5,4,3,4,3,4,4,4,4,3,4,1,1,1
NA1-SB,C,2,2,5,2,4,4,5,2,1,4,3,4,2,5,3,2,2,3,3,1
NB2-SB,C,5,5,5,5,5,4,3,2,3,3,4,5,4,5,5,5,5,5,3,1
NA10-SA,B,5,5,5,4,5,5,4,5,4,5,4,5,2,5,5,3,4,5,1,1
NA10-SA,B,4,4,5,3,4,5,5,5,4,5,5,4,2,4,4,3,5,5,4,1
NA10-SA,B,3,3,5,4,5,5,4,4,3,4,2,3,1,5,3,3,2,3,3,3
NA10-SA,B,5,5,5,5,3,5,5,3,3,5,5,4,5,5,5,5,5,5,5,1
